contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
BillyJack,NFL,154-113-5,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -7.0,IND,-7.0,+500
BillyJack,NFL,154-113-5,Atlanta @ Indianapolis,Atlanta,Indianapolis,Total (Over),Over 48.5,Over,48.5,+500
BillyJack,NFL,154-113-5,Buffalo @ Miami,Buffalo,Miami,Spread (ATS),MIA +8.5,MIA,+8.5,+500
BillyJack,NFL,154-113-5,Buffalo @ Miami,Buffalo,Miami,Total (Over),Over 49.5,Over,49.5,+500
BillyJack,NFL,154-113-5,New Orleans @ Carolina,New Orleans,Carolina,Spread (ATS),CAR -3.5,CAR,-3.5,+500
BillyJack,NFL,154-113-5,New Orleans @ Carolina,New Orleans,Carolina,Total (Under),Under 42.5,Under,42.5,+500
BillyJack,NFL,154-113-5,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Spread (ATS),NYJ -1.5,NYJ,-1.5,+500
BillyJack,NFL,154-113-5,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Total (Over),Over 38.5,Over,38.5,+500
BillyJack,NFL,154-113-5,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Spread (ATS),CHI -3.0,CHI,-3.0,+500
BillyJack,NFL,154-113-5,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Total (Under),Under 46.5,Under,46.5,+500
BillyJack,NFL,154-113-5,Jacksonville @ Houston,Jacksonville,Houston,Spread (ATS),JAC +3.0,JAC,+3.0,+500
BillyJack,NFL,154-113-5,Jacksonville @ Houston,Jacksonville,Houston,Total (Over),Over 41.5,Over,41.5,+500
BillyJack,NFL,154-113-5,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),MIN +3.5,MIN,+3.5,+500
BillyJack,NFL,154-113-5,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Under),Under 46.5,Under,46.5,+500
BillyJack,NFL,154-113-5,New England @ Tampa Bay,New England,Tampa Bay,Spread (ATS),TB -2.5,TB,-2.5,+500
BillyJack,NFL,154-113-5,New England @ Tampa Bay,New England,Tampa Bay,Total (Over),Over 48.0,Over,48.0,+500
BillyJack,NFL,154-113-5,Arizona @ Seattle,Arizona,Seattle,Spread (ATS),SEA -6.0,SEA,-6.0,+500
BillyJack,NFL,154-113-5,Arizona @ Seattle,Arizona,Seattle,Total (Over),Over 44.5,Over,44.5,+500
BillyJack,NFL,154-113-5,Detroit @ Washington,Detroit,Washington,Spread (ATS),WAS +3.5,WAS,+3.5,+500
BillyJack,NFL,154-113-5,Detroit @ Washington,Detroit,Washington,Total (Over),Over 51.5,Over,51.5,+500
BillyJack,NFL,154-113-5,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Spread (ATS),LA -3.0,LA,-3.0,+500
BillyJack,NFL,154-113-5,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Total (Under),Under 48.5,Under,48.5,+500
BillyJack,NFL,154-113-5,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Spread (ATS),PIT +4.5,PIT,+4.5,+500
BillyJack,NFL,154-113-5,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Total (Under),Under 46.5,Under,46.5,+500
Kansas2014,NFL,155-115-2,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -6.5,IND,-6.5,+500
Kansas2014,NFL,155-115-2,Atlanta @ Indianapolis,Atlanta,Indianapolis,Total (Over),Over 48.5,Over,48.5,+500
Kansas2014,NFL,155-115-2,Jacksonville @ Houston,Jacksonville,Houston,Spread (ATS),HOU -1.5,HOU,-1.5,+500
Kansas2014,NFL,155-115-2,Jacksonville @ Houston,Jacksonville,Houston,Total (Under),Under 38.0,Under,38.0,+500
Kansas2014,NFL,155-115-2,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Spread (ATS),CLE -2.5,CLE,-2.5,+500
Kansas2014,NFL,155-115-2,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Total (Under),Under 37.5,Under,37.5,+500
Kansas2014,NFL,155-115-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Spread (ATS),CHI -3.5,CHI,-3.5,+500
Kansas2014,NFL,155-115-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Total (Over),Over 47.5,Over,47.5,+500
Kansas2014,NFL,155-115-2,New England @ Tampa Bay,New England,Tampa Bay,Spread (ATS),NE +2.5,NE,+2.5,+500
Kansas2014,NFL,155-115-2,New England @ Tampa Bay,New England,Tampa Bay,Total (Over),Over 48.5,Over,48.5,+500
Kansas2014,NFL,155-115-2,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),BAL -4.0,BAL,-4.0,+500
Kansas2014,NFL,155-115-2,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Over),Over 49.0,Over,49.0,+500
Kansas2014,NFL,155-115-2,New Orleans @ Carolina,New Orleans,Carolina,Spread (ATS),CAR -5.5,CAR,-5.5,+500
Kansas2014,NFL,155-115-2,New Orleans @ Carolina,New Orleans,Carolina,Total (Under),Under 39.5,Under,39.5,+500
Kansas2014,NFL,155-115-2,Buffalo @ Miami,Buffalo,Miami,Spread (ATS),BUF -9.5,BUF,-9.5,+500
Kansas2014,NFL,155-115-2,Buffalo @ Miami,Buffalo,Miami,Total (Under),Under 50.0,Under,50.0,+500
Kansas2014,NFL,155-115-2,Arizona @ Seattle,Arizona,Seattle,Spread (ATS),SEA -6.5,SEA,-6.5,+500
Kansas2014,NFL,155-115-2,Arizona @ Seattle,Arizona,Seattle,Total (Over),Over 45.0,Over,45.0,+500
Kansas2014,NFL,155-115-2,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Spread (ATS),LA -4.5,LA,-4.5,+500
Kansas2014,NFL,155-115-2,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Total (Over),Over 49.5,Over,49.5,+500
Kansas2014,NFL,155-115-2,Detroit @ Washington,Detroit,Washington,Spread (ATS),DET -8.5,DET,-8.5,+500
Kansas2014,NFL,155-115-2,Detroit @ Washington,Detroit,Washington,Total (Under),Under 49.5,Under,49.5,+500
Kansas2014,NFL,155-115-2,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Spread (ATS),LAC -3.0,LAC,-3.0,+500
Kansas2014,NFL,155-115-2,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Total (Under),Under 45.0,Under,45.0,+500
TNSweep,NFL,94-62-2,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -6.5,IND,-6.5,+500
TNSweep,NFL,94-62-2,New Orleans @ Carolina,New Orleans,Carolina,Spread (ATS),CAR -5.5,CAR,-5.5,+500
TNSweep,NFL,94-62-2,New England @ Tampa Bay,New England,Tampa Bay,Spread (ATS),TB -2.5,TB,-2.5,+500
TNSweep,NFL,94-62-2,New England @ Tampa Bay,New England,Tampa Bay,Total (Over),Over 48.0,Over,48.0,+500
TNSweep,NFL,94-62-2,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Spread (ATS),NYJ +2.0,NYJ,+2.0,+500
TNSweep,NFL,94-62-2,Buffalo @ Miami,Buffalo,Miami,Spread (ATS),BUF -9.5,BUF,-9.5,+500
TNSweep,NFL,94-62-2,Buffalo @ Miami,Buffalo,Miami,Total (Under),Under 50.0,Under,50.0,+500
TNSweep,NFL,94-62-2,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),BAL -4.0,BAL,-4.0,+500
TNSweep,NFL,94-62-2,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Under),Under 49.0,Under,49.0,+500
TNSweep,NFL,94-62-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Spread (ATS),CHI -4.5,CHI,-4.5,+500
TNSweep,NFL,94-62-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Total (Over),Over 46.5,Over,46.5,+500
TNSweep,NFL,94-62-2,Arizona @ Seattle,Arizona,Seattle,Spread (ATS),SEA -7.0,SEA,-7.0,+500
TNSweep,NFL,94-62-2,Arizona @ Seattle,Arizona,Seattle,Total (Over),Over 45.0,Over,45.0,+500
TNSweep,NFL,94-62-2,Detroit @ Washington,Detroit,Washington,Total (Over),Over 49.0,Over,49.0,+500
TNSweep,NFL,94-62-2,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Total (Under),Under 49.5,Under,49.5,+500
TNSweep,NFL,94-62-2,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Spread (ATS),LAC -2.5,LAC,-2.5,+500
london79,NFL,129-94-4,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -7.0,IND,-7.0,+500
london79,NFL,129-94-4,Atlanta @ Indianapolis,Atlanta,Indianapolis,Total (Over),Over 48.5,Over,48.5,+500
london79,NFL,129-94-4,New England @ Tampa Bay,New England,Tampa Bay,Spread (ATS),TB -2.5,TB,-2.5,+500
london79,NFL,129-94-4,New England @ Tampa Bay,New England,Tampa Bay,Total (Over),Over 48.0,Over,48.0,+500
london79,NFL,129-94-4,Jacksonville @ Houston,Jacksonville,Houston,Spread (ATS),HOU -3.0,HOU,-3.0,+500
london79,NFL,129-94-4,Jacksonville @ Houston,Jacksonville,Houston,Total (Over),Over 41.5,Over,41.5,+500
london79,NFL,129-94-4,New Orleans @ Carolina,New Orleans,Carolina,Spread (ATS),CAR -3.5,CAR,-3.5,+500
london79,NFL,129-94-4,New Orleans @ Carolina,New Orleans,Carolina,Total (Over),Over 42.5,Over,42.5,+500
london79,NFL,129-94-4,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Spread (ATS),CHI -3.0,CHI,-3.0,+500
london79,NFL,129-94-4,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Total (Over),Over 46.5,Over,46.5,+500
london79,NFL,129-94-4,Buffalo @ Miami,Buffalo,Miami,Spread (ATS),MIA +8.5,MIA,+8.5,+500
london79,NFL,129-94-4,Buffalo @ Miami,Buffalo,Miami,Total (Over),Over 49.5,Over,49.5,+500
london79,NFL,129-94-4,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Spread (ATS),NYJ -1.5,NYJ,-1.5,+500
london79,NFL,129-94-4,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Total (Over),Over 38.5,Over,38.5,+500
london79,NFL,129-94-4,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),MIN +3.5,MIN,+3.5,+500
london79,NFL,129-94-4,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Over),Over 46.5,Over,46.5,+500
london79,NFL,129-94-4,Arizona @ Seattle,Arizona,Seattle,Spread (ATS),SEA -6.0,SEA,-6.0,+500
london79,NFL,129-94-4,Arizona @ Seattle,Arizona,Seattle,Total (Over),Over 44.5,Over,44.5,+500
london79,NFL,129-94-4,Detroit @ Washington,Detroit,Washington,Spread (ATS),WAS +3.5,WAS,+3.5,+500
london79,NFL,129-94-4,Detroit @ Washington,Detroit,Washington,Total (Over),Over 51.5,Over,51.5,+500
london79,NFL,129-94-4,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Spread (ATS),SF +3.0,SF,+3.0,+500
london79,NFL,129-94-4,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Total (Over),Over 48.5,Over,48.5,+500
london79,NFL,129-94-4,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Spread (ATS),LAC -4.5,LAC,-4.5,+500
london79,NFL,129-94-4,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Total (Over),Over 46.5,Over,46.5,+500
Manning2008SB,NFL,153-116-2,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -6.5,IND,-6.5,+500
Manning2008SB,NFL,153-116-2,Atlanta @ Indianapolis,Atlanta,Indianapolis,Total (Under),Under 48.5,Under,48.5,+500
Manning2008SB,NFL,153-116-2,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),MIN +4.0,MIN,+4.0,+500
Manning2008SB,NFL,153-116-2,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Under),Under 48.0,Under,48.0,+500
Manning2008SB,NFL,153-116-2,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Spread (ATS),CLE -2.5,CLE,-2.5,+500
Manning2008SB,NFL,153-116-2,Cleveland @ N.Y. Jets,Cleveland,N.Y. Jets,Total (Over),Over 37.5,Over,37.5,+500
Manning2008SB,NFL,153-116-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Spread (ATS),CHI -3.5,CHI,-3.5,+500
Manning2008SB,NFL,153-116-2,N.Y. Giants @ Chicago,N.Y. Giants,Chicago,Total (Under),Under 47.5,Under,47.5,+500
Manning2008SB,NFL,153-116-2,Jacksonville @ Houston,Jacksonville,Houston,Spread (ATS),HOU -1.5,HOU,-1.5,+500
Manning2008SB,NFL,153-116-2,Jacksonville @ Houston,Jacksonville,Houston,Total (Over),Over 38.0,Over,38.0,+500
Manning2008SB,NFL,153-116-2,Buffalo @ Miami,Buffalo,Miami,Spread (ATS),MIA +9.5,MIA,+9.5,+500
Manning2008SB,NFL,153-116-2,Buffalo @ Miami,Buffalo,Miami,Total (Under),Under 50.0,Under,50.0,+500
Manning2008SB,NFL,153-116-2,New England @ Tampa Bay,New England,Tampa Bay,Spread (ATS),TB -2.5,TB,-2.5,+500
Manning2008SB,NFL,153-116-2,New England @ Tampa Bay,New England,Tampa Bay,Total (Over),Over 48.5,Over,48.5,+500
Manning2008SB,NFL,153-116-2,New Orleans @ Carolina,New Orleans,Carolina,Spread (ATS),NO +5.5,NO,+5.5,+500
Manning2008SB,NFL,153-116-2,New Orleans @ Carolina,New Orleans,Carolina,Total (Under),Under 39.5,Under,39.5,+500
Manning2008SB,NFL,153-116-2,Arizona @ Seattle,Arizona,Seattle,Spread (ATS),ARI +6.5,ARI,+6.5,+500
Manning2008SB,NFL,153-116-2,Arizona @ Seattle,Arizona,Seattle,Total (Under),Under 45.0,Under,45.0,+500
Manning2008SB,NFL,153-116-2,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Spread (ATS),SF +4.5,SF,+4.5,+500
Manning2008SB,NFL,153-116-2,L.A. Rams @ San Francisco,L.A. Rams,San Francisco,Total (Under),Under 49.5,Under,49.5,+500
Manning2008SB,NFL,153-116-2,Detroit @ Washington,Detroit,Washington,Spread (ATS),WAS +9.0,WAS,+9.0,+500
Manning2008SB,NFL,153-116-2,Detroit @ Washington,Detroit,Washington,Total (Over),Over 49.5,Over,49.5,+500
Manning2008SB,NFL,153-116-2,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Spread (ATS),LAC -3.0,LAC,-3.0,+500
Manning2008SB,NFL,153-116-2,Pittsburgh @ L.A. Chargers,Pittsburgh,L.A. Chargers,Total (Over),Over 45.0,Over,45.0,+500
CappersClub,NFL,118-86-4,Atlanta @ Indianapolis,Atlanta,Indianapolis,Spread (ATS),IND -6.5,IND,-6.5,+500
CappersClub,NFL,118-86-4,Atlanta @ Indianapolis,Atlanta,Indianapolis,Total (Over),Over 48.5,Over,48.5,+500
CappersClub,NFL,118-86-4,Baltimore @ Minnesota,Baltimore,Minnesota,Spread (ATS),BAL -4.0,BAL,-4.0,+500
CappersClub,NFL,118-86-4,Baltimore @ Minnesota,Baltimore,Minnesota,Total (Over),Over 49.0,Over,49.0,+500
